StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Majestic Shoppe,MBO,2013-08-24,648 Charles Village Suite 090 Lake Zachary  NV 16103,Moranhaven,Louisiana,Guam,South,Connor
The Majestic Reflections,Exclusive,2002-12-25,67541 John Radial Apt. 643 Jasonview  WY 58713,East James,New Hampshire,Colombia,North,Michael
The Luxe Shop,Exclusive,1978-10-05,9901 Reid Spring Suite 749 Heatherville  ID 04035,East Gina,Tennessee,Brazil,West,William
The Golden Quest,Outlet Stores,2002-12-13,59969 Candice Mountain Suite 062 Donaldberg  NH 64728,Myersfort,Kentucky,Cayman Islands,North,Jesse
The Harmony Vault,SMB,2003-07-30,Unit 5034 Box 1608 DPO AP 70520,North Peter,New Hampshire,Madagascar,West,Steven
The Majestic Emporium,Outlet Stores,2016-04-17,2659 Lisa Meadow Suite 002 North Claireshire  NH 18350,Michaelshire,Kentucky,New Caledonia,West,Alex
The Vintage Emporium,Exclusive,2000-02-02,5882 Herrera Port Wardtown  NY 56392,Lindamouth,Maine,Bahrain,West,Sandra
The Cozy Deals,MBO,1978-05-18,1887 Daniel Grove Suite 261 Lake Scottton  PW 94443,Dominguezfort,New York,Guatemala,East,Alfred
The Harmony Creations,MBO,2004-05-03,047 Michael Underpass North Haleyshire  OH 77914,Port Gabrielaville,Louisiana,United States Minor Outlying Islands,South,Seth
The Vintage Closet,MBO,2000-08-04,USNS Parker FPO AP 11492,Port Kimberly,Louisiana,El Salvador,West,Jason
The Dapper Marketplace,Exclusive,2012-08-05,8006 Walker Mission Kennethhaven  AL 32714,Kimmouth,Arkansas,Nicaragua,West,Katie
The Vintage Emporium,MBO,1979-05-24,61062 Adam Shoals East Joseph  ID 26753,Davisfurt,North Dakota,Greenland,East,Diane
The Whimsy Quest,Outlet Stores,1979-05-10,Unit 8404 Box 3531 DPO AA 83283,Elizabethhaven,Nebraska,San Marino,East,Jose
The Whimsy Enclave,Outlet Stores,1981-01-25,192 Sharon Mill Lake Carmen  GU 89834,South Jamesmouth,Wisconsin,Rwanda,East,Amber
The Shimmer Deals,Outlet Stores,1976-05-16,57237 Michael Course Paynechester  FL 68992,Alisontown,Utah,Palau,South,Crystal
The Dapper Cabinet,Outlet Stores,1986-11-06,762 James Coves Suite 414 Dianatown  WI 56876,Leachmouth,Montana,Palestinian Territory,West,Linda
The Whimsy Closet,Exclusive,1978-05-16,540 Nancy Locks Hensleyshire  CA 32415,East Christopher,Nebraska,United Arab Emirates,West,Melinda
The Serene Nook,MBO,2012-05-16,35033 Corey Bypass South Edwin  ND 37183,East Richardberg,Tennessee,United States Minor Outlying Islands,South,David
The Serene Perfection,MBO,1988-12-05,069 Jared Springs Brianafurt  NC 45570,Robinsonport,Illinois,Uganda,South,Richard
The Serene Essentials,SMB,2009-12-13,731 Susan Plains Suite 658 North Benjaminview  MI 74029,South Sarahside,Florida,Benin,South,Justin
The Whimsy Creations,SMB,1987-04-20,077 Burke Via Apt. 904 South Steve  CO 53950,New Christine,Alabama,Tunisia,East,Shelly
The Timeless Marvels,Exclusive,1992-04-22,786 Horton Ways Suite 567 Jamesstad  OR 36575,Port Phillip,Alaska,Belize,East,Justin
The Blissful Treasures,SMB,2016-10-24,44480 Richard Green Scottstad  ND 84010,Markmouth,Missouri,Netherlands,West,Victor
The Luxe Merchant,Outlet Stores,2016-03-19,6770 Estes Motorway Suite 376 Snyderside  IL 92234,Aaronborough,New Mexico,Gambia,West,Brandon
The Dapper Quest,SMB,2018-05-16,32386 Mitchell Circles Lake Anthony  MD 53521,Kaitlinbury,Hawaii,Reunion,East,Matthew
The Cozy Shoppe,MBO,1984-06-29,52445 Blake Canyon Daniellestad  PA 60801,Ronaldbury,Louisiana,Namibia,East,Brian
The Elegant Shoppe,SMB,1989-02-25,734 Linda Islands Danielfurt  NH 18573,Fieldshaven,New York,Philippines,East,Gregory
The Purely Marvels,Outlet Stores,2023-08-06,37512 Welch Locks Kathyview  NJ 97454,East Andrewland,Alabama,Thailand,South,Christine
The Blissful Cabinet,MBO,2005-03-17,93577 Fischer Haven Lake Susanhaven  MT 45117,East Ruthstad,New York,Montserrat,West,Michael
